Date,Open,High,Low,Close,Volume
2005-09-26,3686.300048828125,3776.64990234375,3686.300048828125,3774.60009765625,0
2005-09-27,3768.60009765625,3831.64990234375,3768.60009765625,3803.949951171875,0
2005-09-28,3805.5,3833.5,3805.5,3827.199951171875,0
2005-09-29,3843.14990234375,3858.949951171875,3810.25,3813.550048828125,0
2005-09-30,3829.5,3831.800048828125,3745.85009765625,3807.39990234375,0
2005-10-03,3822.449951171875,3867.14990234375,3821.35009765625,3861.10009765625,0
2005-10-04,3867.14990234375,3917.300048828125,3867.14990234375,3912.89990234375,0
2005-10-05,3922.800048828125,3922.800048828125,3880.35009765625,3889.449951171875,0
2005-10-06,3852.39990234375,3878.75,3825.14990234375,3828.800048828125,0
2005-10-07,3831.14990234375,3870.949951171875,3784.10009765625,3805.800048828125,0
2005-10-10,3822.39990234375,3837.75,3783.199951171875,3787.39990234375,0
2005-10-11,3797.10009765625,3802.85009765625,3733.14990234375,3785.949951171875,0
2005-10-13,3780.199951171875,3807.5,3741.25,3751.14990234375,0
2005-10-14,3751.85009765625,3761.35009765625,3671.39990234375,3679.300048828125,0
2005-10-17,3687.64990234375,3697.25,3630.64990234375,3661.35009765625,0
2005-10-18,3671.550048828125,3708.5,3627.64990234375,3641.199951171875,0
2005-10-19,3621.800048828125,3621.800048828125,3526.5,3539.39990234375,0
2005-10-20,3539.60009765625,3607.85009765625,3457.85009765625,3489.64990234375,0
2005-10-21,3499.85009765625,3549.449951171875,3455.75,3537.85009765625,0
2005-10-24,3558.199951171875,3579.14990234375,3528.75,3534.300048828125,0
2005-10-25,3557.25,3562.14990234375,3524.199951171875,3546.60009765625,0
2005-10-26,3555.75,3561.199951171875,3532.449951171875,3536.25,0
2005-10-27,3535.85009765625,3542.39990234375,3461.199951171875,3469.89990234375,0
2005-10-28,3470.35009765625,3470.35009765625,3399.64990234375,3407.949951171875,0
2005-10-31,3420.550048828125,3482.89990234375,3406.60009765625,3478.64990234375,0
2005-11-02,3520.050048828125,3539.949951171875,3477.0,3537.39990234375,0
2005-11-07,3540.199951171875,3604.449951171875,3536.64990234375,3602.25,0
2005-11-08,3610.35009765625,3663.050048828125,3610.35009765625,3647.89990234375,0
2005-11-09,3651.949951171875,3688.39990234375,3630.60009765625,3641.25,0
2005-11-10,3650.35009765625,3662.0,3637.60009765625,3651.199951171875,0
2005-11-11,3663.050048828125,3701.5,3663.050048828125,3699.60009765625,0
2005-11-14,3721.050048828125,3737.60009765625,3686.85009765625,3711.5,0
2005-11-16,3729.60009765625,3739.85009765625,3724.75,3736.800048828125,0
2005-11-17,3752.5,3759.800048828125,3720.10009765625,3755.699951171875,0
2005-11-18,3766.64990234375,3799.25,3766.64990234375,3779.0,0
2005-11-21,3777.0,3790.64990234375,3747.85009765625,3756.300048828125,0
2005-11-22,3754.25,3772.35009765625,3727.5,3731.0,0
2005-11-23,3738.60009765625,3754.0,3726.85009765625,3740.199951171875,0
2005-11-24,3760.699951171875,3771.800048828125,3756.5,3765.199951171875,0
2005-11-25,3772.89990234375,3809.699951171875,3772.89990234375,3807.0,0
2005-11-28,3851.35009765625,3885.75,3851.35009765625,3860.75,0
2005-11-29,3863.550048828125,3863.550048828125,3823.64990234375,3843.39990234375,0
2005-11-30,3853.199951171875,3896.85009765625,3824.25,3832.5,0
2005-12-01,3844.10009765625,3889.949951171875,3825.39990234375,3884.800048828125,0
2005-12-02,3907.75,3924.0,3890.949951171875,3899.64990234375,0
2005-12-05,3918.050048828125,3926.050048828125,3872.449951171875,3877.39990234375,0
2005-12-06,3889.449951171875,3898.35009765625,3865.0,3872.5,0
2005-12-07,3878.10009765625,3906.39990234375,3878.10009765625,3893.050048828125,0
2005-12-08,3925.949951171875,3925.949951171875,3887.5,3905.75,0
2005-12-09,3914.550048828125,3934.449951171875,3914.550048828125,3929.050048828125,0
2005-12-12,3940.10009765625,3955.050048828125,3925.550048828125,3931.35009765625,0
2005-12-13,3922.550048828125,3975.60009765625,3922.550048828125,3972.39990234375,0
2005-12-14,3989.64990234375,4006.300048828125,3959.89990234375,3972.75,0
2005-12-15,3988.39990234375,3999.550048828125,3923.449951171875,3939.800048828125,0
2005-12-16,3950.14990234375,3970.10009765625,3938.300048828125,3967.60009765625,0
2005-12-19,3982.050048828125,4007.60009765625,3982.050048828125,4006.89990234375,0
2005-12-20,4016.949951171875,4024.85009765625,3977.75,3991.14990234375,0
2005-12-21,3989.14990234375,4015.949951171875,3974.5,3989.89990234375,0
2005-12-22,3996.75,4005.60009765625,3981.35009765625,4002.89990234375,0
2005-12-23,4010.300048828125,4027.949951171875,3956.25,3964.39990234375,0
2005-12-26,3961.800048828125,3961.800048828125,3870.89990234375,3879.800048828125,0
2005-12-27,3879.10009765625,3961.199951171875,3874.75,3957.85009765625,0
2005-12-28,3961.949951171875,3983.14990234375,3945.949951171875,3960.60009765625,0
2005-12-29,3969.0,3991.85009765625,3964.75,3986.199951171875,0
2005-12-30,3998.0,4033.550048828125,3998.0,4030.449951171875,0
2006-01-02,4044.550048828125,4063.89990234375,4039.60009765625,4056.699951171875,0
2006-01-03,4067.199951171875,4117.89990234375,4067.199951171875,4116.7001953125,0
2006-01-04,4127.89990234375,4152.60009765625,4123.89990234375,4147.0,0
2006-01-05,4153.9501953125,4181.35009765625,4127.25,4176.5,0
2006-01-06,4182.7998046875,4218.35009765625,4165.85009765625,4203.25,0
2006-01-09,4229.7998046875,4247.75,4226.85009765625,4238.0498046875,0
2006-01-10,4241.75,4245.39990234375,4207.5498046875,4213.64990234375,0
2006-01-12,4203.60009765625,4230.7001953125,4176.89990234375,4201.9501953125,0
2006-01-13,4200.7998046875,4260.75,4200.7998046875,4212.2001953125,0
2006-01-16,4219.0,4232.4501953125,4182.7998046875,4188.5498046875,0
2006-01-17,4200.7001953125,4219.0,4131.5498046875,4141.0498046875,0
2006-01-18,4103.39990234375,4136.2998046875,4088.949951171875,4113.5498046875,0
2006-01-19,4135.7001953125,4187.0,4135.7001953125,4185.0498046875,0
2006-01-20,4193.25,4233.2998046875,4193.25,4223.7998046875,0
2006-01-23,4207.60009765625,4238.14990234375,4204.35009765625,4220.7001953125,0
2006-01-24,4237.2998046875,4270.14990234375,4224.0498046875,4228.2001953125,0
2006-01-25,4236.75,4278.5,4236.75,4259.0498046875,0
2006-01-27,4273.7998046875,4346.75,4273.7998046875,4342.85009765625,0
2006-01-30,4355.0498046875,4376.39990234375,4275.64990234375,4297.60009765625,0
2006-01-31,4301.7998046875,4317.64990234375,4299.10009765625,4308.14990234375,0
2006-02-01,4316.5498046875,4326.85009765625,4259.25,4268.7998046875,0
2006-02-02,4285.85009765625,4308.0,4249.10009765625,4272.5,0
2006-02-03,4269.2998046875,4302.7001953125,4258.75,4287.4501953125,0
2006-02-06,4298.7998046875,4355.2001953125,4289.0498046875,4347.85009765625,0
2006-02-07,4366.0,4388.0,4345.10009765625,4368.89990234375,0
2006-02-08,4378.7001953125,4380.75,4357.14990234375,4370.75,0
2006-02-10,4374.89990234375,4429.2998046875,4374.89990234375,4426.5498046875,0
2006-02-13,4434.89990234375,4464.7998046875,4434.89990234375,4458.89990234375,0
2006-02-14,4481.85009765625,4490.25,4430.5,4439.4501953125,0
2006-02-15,4461.89990234375,4478.2001953125,4420.75,4426.9501953125,0
2006-02-16,4435.89990234375,4463.85009765625,4431.7001953125,4437.39990234375,0
2006-02-17,4440.75,4457.9501953125,4362.7998046875,4368.85009765625,0
2006-02-20,4365.0,4365.0,4277.60009765625,4311.5498046875,0
2006-02-21,4319.25,4358.39990234375,4319.25,4340.35009765625,0
2006-02-22,4348.5498046875,4362.25,4330.10009765625,4345.5,0
2006-02-23,4354.9501953125,4372.14990234375,4325.7998046875,4332.75,0
2006-02-24,4353.7001953125,4377.7998046875,4343.2001953125,4372.0,0
2006-02-27,4371.89990234375,4400.14990234375,4371.89990234375,4393.39990234375,0
2006-02-28,4408.9501953125,4419.5,4340.4501953125,4395.9501953125,0
2006-03-01,4404.4501953125,4504.39990234375,4397.64990234375,4495.2001953125,0
2006-03-02,4531.7001953125,4547.7001953125,4509.39990234375,4526.14990234375,0
2006-03-03,4530.2998046875,4555.2001953125,4526.85009765625,4550.75,0
2006-03-06,4551.14990234375,4608.2001953125,4551.14990234375,4602.2998046875,0
2006-03-07,4609.64990234375,4650.64990234375,4597.4501953125,4645.2998046875,0
2006-03-08,4658.35009765625,4681.5,4556.10009765625,4564.0498046875,0
2006-03-09,4576.60009765625,4586.5498046875,4509.5498046875,4584.10009765625,0
2006-03-10,4602.89990234375,4650.2998046875,4602.89990234375,4623.5,0
2006-03-13,4631.75,4676.0,4631.75,4648.2998046875,0
2006-03-14,4656.0,4686.64990234375,4623.7998046875,4631.0,0
2006-03-16,4640.7001953125,4675.35009765625,4636.0,4648.89990234375,0
2006-03-17,4663.10009765625,4670.14990234375,4626.85009765625,4636.89990234375,0
2006-03-20,4668.85009765625,4679.25,4654.2001953125,4677.10009765625,0
2006-03-21,4688.64990234375,4705.39990234375,4653.25,4673.7001953125,0
2006-03-22,4675.64990234375,4679.75,4606.39990234375,4629.7001953125,0
2006-03-23,4650.75,4670.10009765625,4625.89990234375,4639.5,0
2006-03-24,4639.5498046875,4671.75,4639.5498046875,4670.2001953125,0
2006-03-27,4683.2998046875,4716.60009765625,4683.2998046875,4702.25,0
2006-03-28,4698.14990234375,4730.89990234375,4662.0,4667.2998046875,0
2006-03-29,4694.14990234375,4697.5498046875,4669.7998046875,4679.5498046875,0
2006-03-30,4705.0,4741.7001953125,4700.7998046875,4712.7001953125,0
2006-03-31,4726.9501953125,4797.64990234375,4719.7998046875,4787.14990234375,0
2006-04-03,4796.39990234375,4901.10009765625,4796.39990234375,4896.7998046875,0
2006-04-04,4915.64990234375,4944.4501953125,4875.39990234375,4935.64990234375,0
2006-04-05,4946.7998046875,5020.35009765625,4946.7998046875,5017.64990234375,0
2006-04-07,5044.9501953125,5081.9501953125,4932.14990234375,4949.4501953125,0
2006-04-10,4955.85009765625,4988.5,4936.89990234375,4975.2001953125,0
2006-04-12,4975.0498046875,5010.9501953125,4858.0,4873.2001953125,0
2006-04-13,4881.9501953125,4881.9501953125,4676.5,4763.7001953125,0
2006-04-17,4810.0,4856.39990234375,4805.85009765625,4849.35009765625,0
2006-04-18,4878.2001953125,4925.5498046875,4878.2001953125,4910.75,0
2006-04-19,4927.75,4953.39990234375,4894.5,4918.89990234375,0
2006-04-20,4938.14990234375,4969.5498046875,4930.14990234375,4954.89990234375,0
2006-04-21,4975.64990234375,4988.89990234375,4924.5,4972.64990234375,0
2006-04-24,4985.14990234375,5016.75,4970.0,4994.89990234375,0
2006-04-25,4997.0,5022.39990234375,4921.89990234375,4927.14990234375,0
2006-04-26,4930.5498046875,5000.5,4930.5498046875,4994.75,0
2006-04-27,5024.7998046875,5068.64990234375,5013.25,5022.10009765625,0
